[14/Apr/2025:10:55:28 +0000] - 200 200 - GET http uptimekuma.home "/socket.io/?EIO=4&transport=polling&t=yjjdaqok&sid=UAQEwdmPr6VpnJtDAAAS" [Client 10.20.30.41] [Length 22] [Gzip -] [Sent-to 10.20.30.100] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36" "http://uptimekuma.home/dashboard"
[14/Apr/2025:10:55:28 +0000] - 200 200 - GET http uptimekuma.home "/socket.io/?EIO=4&transport=polling&t=yjjnax8c&sid=UAQEwdmPr6VpnJtDAAAS" [Client 10.20.30.41] [Length 103] [Gzip -] [Sent-to 10.20.30.100] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36" "http://uptimekuma.home/dashboard"
[14/Apr/2025:10:55:28 +0000] - 200 200 - GET http uptimekuma.home "/socket.io/?EIO=4&transport=polling&t=yjjnr51p&sid=UAQEwdmPr6VpnJtDAAAS" [Client 10.20.30.41] [Length 8392] [Gzip -] [Sent-to 10.20.30.100] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36" "http://uptimekuma.home/dashboard"
[14/Apr/2025:10:55:28 +0000] - 200 200 - GET http uptimekuma.home "/socket.io/?EIO=4&transport=polling&t=yjjokvhh&sid=UAQEwdmPr6VpnJtDAAAS" [Client 10.20.30.41] [Length 11162] [Gzip -] [Sent-to 10.20.30.100] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36" "http://uptimekuma.home/dashboard"
[14/Apr/2025:10:55:30 +0000] - 200 200 - GET http uptimekuma.home "/socket.io/?EIO=4&transport=polling&t=yjjp32dh&sid=UAQEwdmPr6VpnJtDAAAS" [Client 10.20.30.41] [Length 135] [Gzip -] [Sent-to 10.20.30.100] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36" "http://uptimekuma.home/dashboard"
[14/Apr/2025:10:55:30 +0000] - 200 200 - GET http uptimekuma.home "/socket.io/?EIO=4&transport=polling&t=yjkjlomb&sid=UAQEwdmPr6VpnJtDAAAS" [Client 10.20.30.41] [Length 19] [Gzip -] [Sent-to 10.20.30.100] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36" "http://uptimekuma.home/dashboard"
[14/Apr/2025:10:55:30 +0000] - 200 200 - GET http uptimekuma.home "/socket.io/?EIO=4&transport=polling&t=yjkk4a8u&sid=UAQEwdmPr6VpnJtDAAAS" [Client 10.20.30.41] [Length 19] [Gzip -] [Sent-to 10.20.30.100] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36" "http://uptimekuma.home/dashboard"
[14/Apr/2025:10:55:30 +0000] - 200 200 - GET http uptimekuma.home "/socket.io/?EIO=4&transport=polling&t=yjkkpd4q&sid=UAQEwdmPr6VpnJtDAAAS" [Client 10.20.30.41] [Length 36] [Gzip -] [Sent-to 10.20.30.100] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36" "http://uptimekuma.home/dashboard"
[14/Apr/2025:10:55:34 +0000] - 200 200 - GET http uptimekuma.home "/socket.io/?EIO=4&transport=polling&t=yjkrr21y&sid=UAQEwdmPr6VpnJtDAAAS" [Client 10.20.30.41] [Length 1] [Gzip -] [Sent-to 10.20.30.100] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36" "http://uptimekuma.home/dashboard"
[14/Apr/2025:10:55:34 +0000] - 200 200 - POST http uptimekuma.home "/socket.io/?EIO=4&transport=polling&t=yjo5jnw1&sid=UAQEwdmPr6VpnJtDAAAS" [Client 10.20.30.41] [Length 2] [Gzip -] [Sent-to 10.20.30.100] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36" "http://uptimekuma.home/dashboard"
